x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.25378948,0.8979367,4.2583804e-07,0.32550156,0.8604465,-0.022500228,0.38756275,0.79557407,-0.02969403,0.43306297,0.74301314,-0.03635784,0.4695003,0.7149254,-0.042573847,0.33453664,0.661127,-0.0023301211,0.35075897,0.5755558,-0.012251853,0.35515448,0.5244224,-0.025157,0.35821792,0.47909486,-0.035626102,0.29522038,0.6499426,-0.003578989,0.30379635,0.5524005,-0.01118272,0.30775017,0.49281055,-0.024095094,0.30955997,0.44375104,-0.03444574,0.2577899,0.6572276,-0.008759803,0.26125473,0.5678425,-0.017949691,0.26674062,0.5140176,-0.028275385,0.27154347,0.46736053,-0.036097236,0.21806176,0.6793031,-0.01688145,0.21417594,0.60769916,-0.026426386,0.21551472,0.56269807,-0.030390102,0.21931669,0.5200602,-0.03289224,open_palm
0.25412104,0.89808244,4.221467e-07,0.32570413,0.8607855,-0.022537693,0.38781387,0.79556745,-0.029226828,0.43341342,0.74295056,-0.035397835,0.46998328,0.715185,-0.04106494,0.33505556,0.6609205,-0.00067064614,0.35124576,0.575317,-0.009715602,0.35542727,0.5243742,-0.022210171,0.35823017,0.4793071,-0.032486632,0.2958605,0.6499516,-0.001654451,0.30467847,0.5531096,-0.008460063,0.30838144,0.49342525,-0.02119694,0.30989778,0.44415805,-0.03155925,0.25844812,0.657175,-0.0067183743,0.2623218,0.5684262,-0.015504704,0.2679742,0.51537174,-0.026045721,0.27262628,0.46957162,-0.034099907,0.21858338,0.6785397,-0.014752975,0.21490031,0.6075259,-0.02409521,0.21610245,0.56290734,-0.028280677,0.21968378,0.5204634,-0.031079885,open_palm
0.25454924,0.8977423,4.157391e-07,0.32633424,0.8606733,-0.022501701,0.3885462,0.7963228,-0.029410819,0.433773,0.7439686,-0.035791922,0.47002304,0.71518517,-0.04169242,0.33499953,0.66198665,-0.0015095614,0.35107338,0.5763046,-0.011054348,0.35545033,0.5254559,-0.023713458,0.35857195,0.48034483,-0.034028288,0.2960223,0.65100527,-0.0025587785,0.30470046,0.5538968,-0.009917487,0.3086863,0.49439996,-0.022830201,0.31064135,0.445239,-0.03323415,0.25889477,0.65806484,-0.007610429,0.26247543,0.5693029,-0.01673572,0.268323,0.5160119,-0.027239718,0.27341673,0.4697914,-0.035209972,0.21942587,0.6793672,-0.015599573,0.21558912,0.6086607,-0.025078539,0.2167812,0.56431556,-0.029142022,0.22022791,0.5222868,-0.03179125,open_palm
0.2551207,0.8979467,4.197826e-07,0.32678998,0.86095744,-0.022694074,0.38878453,0.79663676,-0.029869236,0.43391326,0.7444142,-0.036454946,0.4702195,0.71590316,-0.04263719,0.33510032,0.6624774,-0.0026675437,0.35124987,0.5771618,-0.012611615,0.35584405,0.5262536,-0.025395103,0.35915232,0.48105425,-0.035793804,0.29605615,0.651687,-0.0038096132,0.30517286,0.5545284,-0.011607778,0.30937457,0.49497634,-0.02460629,0.31148255,0.44571868,-0.035025317,0.25887588,0.659114,-0.008895796,0.26279354,0.5698667,-0.018519875,0.26839295,0.5162523,-0.029144105,0.2732593,0.46979547,-0.0371234,0.2193402,0.6810714,-0.01689041,0.21545124,0.60983086,-0.026925148,0.21661565,0.5648542,-0.031279463,0.22017698,0.52216303,-0.034075517,open_palm
0.25527188,0.8979492,4.2548865e-07,0.32701537,0.8607725,-0.02293228,0.38903826,0.7960109,-0.030005468,0.4341848,0.74367744,-0.036476865,0.47078305,0.7164693,-0.042499546,0.33553594,0.66163105,-0.0018823665,0.35157305,0.5766119,-0.011519778,0.3558701,0.525821,-0.024344226,0.3589874,0.48060232,-0.0348521,0.29631713,0.6508082,-0.0027869786,0.30484563,0.55451083,-0.010281441,0.30877942,0.49513036,-0.023338769,0.3107833,0.44573167,-0.03385219,0.25899857,0.65822315,-0.0077200443,0.26245347,0.56972724,-0.017049884,0.26807043,0.516807,-0.027659973,0.27297628,0.47068202,-0.035652734,0.21949819,0.6800605,-0.015637811,0.21592866,0.60914046,-0.025368689,0.21734333,0.56477535,-0.029615894,0.22116637,0.52255833,-0.032355063,open_palm
0.2560234,0.897161,4.2526636e-07,0.3277213,0.86022305,-0.022632588,0.38977796,0.7956309,-0.029474342,0.43493244,0.7435245,-0.035780028,0.47158736,0.71647036,-0.041636128,0.3369596,0.6611843,-0.0014720799,0.35319078,0.57593143,-0.010795805,0.3574548,0.5250506,-0.023475857,0.36036372,0.47977805,-0.03391456,0.29775628,0.6501248,-0.0025203973,0.3060902,0.55338573,-0.009703176,0.3099239,0.49377573,-0.022718675,0.31162965,0.44472867,-0.033235986,0.2604065,0.657467,-0.00755394,0.26386645,0.56905717,-0.016557228,0.26960918,0.5162546,-0.027139459,0.27457532,0.4704488,-0.03515503,0.22074778,0.6792961,-0.015550855,0.21674292,0.60841787,-0.025087176,0.21800405,0.5640197,-0.029284602,0.22171853,0.52169776,-0.031991147,open_palm
0.2569728,0.8973806,4.1338856e-07,0.32928234,0.8607182,-0.022370417,0.39172307,0.79565024,-0.028834125,0.43700486,0.74385965,-0.034833074,0.47308046,0.7173049,-0.04041217,0.33811012,0.6611239,-0.0009407665,0.3539245,0.5761273,-0.010137599,0.3581097,0.525267,-0.022765776,0.3611185,0.4797666,-0.03326265,0.29921445,0.65029085,-0.0020600336,0.3078964,0.55447614,-0.00930861,0.31183672,0.49471918,-0.02247331,0.31375074,0.444965,-0.03315764,0.26219907,0.65744823,-0.007177795,0.26576018,0.5694953,-0.016388703,0.2714861,0.5169089,-0.027250104,0.27634352,0.47123265,-0.035443123,0.22282907,0.67884576,-0.015256189,0.21871367,0.6080927,-0.025002485,0.2194606,0.56344444,-0.029522985,0.22261107,0.52085716,-0.03252501,open_palm
0.25855827,0.8970279,4.1040607e-07,0.33074382,0.86069953,-0.022114696,0.39288518,0.7958759,-0.028734574,0.43813297,0.74449456,-0.034955382,0.47442335,0.7187688,-0.040830158,0.33929121,0.6622218,-0.0018861841,0.3554186,0.5772455,-0.011526764,0.3598566,0.52659595,-0.02417594,0.3631002,0.4814945,-0.034582507,0.30036768,0.65143305,-0.0032432182,0.3089304,0.5553448,-0.010964243,0.31292623,0.49584305,-0.024096338,0.31494865,0.44613183,-0.03466974,0.2634882,0.6585026,-0.008503379,0.2668078,0.57077783,-0.018052049,0.27284327,0.5185404,-0.028702585,0.2781214,0.4731421,-0.03666288,0.22426608,0.67979205,-0.016678132,0.22008172,0.6090403,-0.026584227,0.22114222,0.5645629,-0.030924972,0.22454405,0.5222419,-0.03373479,open_palm
0.2596314,0.8973373,4.1391047e-07,0.33203754,0.86106336,-0.022281224,0.39423192,0.79641336,-0.02886035,0.43928063,0.74483806,-0.03494138,0.47529197,0.71919554,-0.040647462,0.34081665,0.6626476,-0.0018047777,0.35694316,0.577813,-0.011372583,0.36127257,0.5270597,-0.024116175,0.3644371,0.48184767,-0.034626395,0.30179074,0.6516587,-0.0029685323,0.3103513,0.5556259,-0.010564211,0.3143625,0.49636605,-0.023759678,0.31638992,0.4473608,-0.034382474,0.26473376,0.6587038,-0.008023409,0.26812473,0.5704922,-0.01748736,0.27387798,0.5184542,-0.028166648,0.2788461,0.4734568,-0.036139052,0.22548147,0.6802152,-0.01599203,0.22156246,0.6091615,-0.025905222,0.22271875,0.56468105,-0.030295802,0.2263301,0.5224275,-0.033103645,open_palm
0.26096803,0.8966097,4.0995582e-07,0.33317596,0.8609302,-0.02218333,0.3953305,0.79682153,-0.028773108,0.44031057,0.74535346,-0.034919493,0.47642213,0.71965516,-0.040747274,0.34205553,0.66290575,-0.0019991028,0.35842055,0.57825935,-0.011667771,0.362852,0.5274996,-0.024394251,0.3659985,0.48228067,-0.0348838,0.30330068,0.65209705,-0.0032291296,0.31204543,0.55662614,-0.011037851,0.3158848,0.49712223,-0.024330163,0.31759635,0.44749653,-0.03506299,0.26649964,0.65904754,-0.00833886,0.26985416,0.571703,-0.01797176,0.27557048,0.5200438,-0.028710602,0.2803994,0.47525775,-0.036744304,0.22728945,0.6801076,-0.016359942,0.2233921,0.6095168,-0.026409926,0.2246548,0.5653296,-0.030937707,0.22828296,0.52327114,-0.033884507,open_palm
